Time,ECG,GSR,Breathing,EMG,PulOxR,PulOxIR
11:11:23.237221,39413.000000,19744.000000,30414.000000,32741.000000,1139.000000,795.000000
11:11:23.237232,38460.000000,19713.000000,30389.000000,32854.000000,1139.000000,795.000000
11:11:23.237243,37674.000000,19757.000000,30404.000000,32726.000000,1139.000000,795.000000
11:11:23.237254,37056.000000,19729.000000,30407.000000,32725.000000,1139.000000,795.000000
11:11:23.237265,36541.000000,19757.000000,30390.000000,32674.000000,1140.000000,794.000000
11:11:23.237295,35996.000000,19727.000000,30406.000000,32694.000000,1140.000000,794.000000
11:11:23.239376,35512.000000,19764.000000,30428.000000,32686.000000,1141.000000,795.000000
11:11:23.239399,35276.000000,19703.000000,30446.000000,32772.000000,1141.000000,795.000000
11:11:23.239412,35204.000000,19710.000000,30393.000000,32743.000000,1141.000000,794.000000
11:11:23.239427,35232.000000,19708.000000,30393.000000,32625.000000,1141.000000,794.000000
11:11:23.247083,35200.000000,19705.000000,30485.000000,32713.000000,1140.000000,795.000000
11:11:23.247106,35008.000000,19719.000000,30354.000000,32757.000000,1140.000000,795.000000
11:11:23.247119,34736.000000,19711.000000,30444.000000,32890.000000,1141.000000,795.000000
11:11:23.247135,34436.000000,19718.000000,30382.000000,32708.000000,1141.000000,795.000000
11:11:23.247148,33938.000000,19703.000000,30530.000000,32653.000000,1141.000000,794.000000
11:11:23.247163,33328.000000,19739.000000,30447.000000,32735.000000,1141.000000,794.000000
11:11:23.247175,32669.000000,19731.000000,30447.000000,32743.000000,1139.000000,794.000000
11:11:23.247186,31982.000000,19711.000000,30450.000000,32727.000000,1139.000000,794.000000
11:11:23.257068,31320.000000,19726.000000,30380.000000,32840.000000,1141.000000,794.000000
11:11:23.257091,30757.000000,19703.000000,30554.000000,32833.000000,1141.000000,794.000000
11:11:23.257104,30312.000000,19735.000000,30487.000000,32777.000000,1140.000000,793.000000
11:11:23.257116,30010.000000,19708.000000,30463.000000,32880.000000,1140.000000,793.000000
11:11:23.257127,29740.000000,19730.000000,30440.000000,32787.000000,1139.000000,791.000000
11:11:23.257138,29462.000000,19719.000000,30439.000000,32516.000000,1139.000000,791.000000
11:11:23.257149,29217.000000,19710.000000,30564.000000,32632.000000,1139.000000,796.000000
11:11:23.257160,28900.000000,19718.000000,30517.000000,32793.000000,1139.000000,796.000000
11:11:23.259607,28680.000000,19711.000000,30513.000000,32764.000000,1139.000000,793.000000
11:11:23.259660,28460.000000,19719.000000,30514.000000,32840.000000,1139.000000,793.000000
11:11:23.259684,28188.000000,19705.000000,30477.000000,32665.000000,1140.000000,793.000000
11:11:23.259773,27940.000000,19713.000000,30471.000000,32692.000000,1140.000000,793.000000
11:11:23.259798,27700.000000,19703.000000,30502.000000,32678.000000,1138.000000,793.000000
11:11:23.259908,27552.000000,19713.000000,30505.000000,32864.000000,1138.000000,793.000000
